customer_id,recency,frequency,monetary,average_order_value,first_purchase_date,customer_tenure_days,purchase_frequency_per_day,churn,churn_probability
12346,326,12,77556.46,6463.038333333334,2009-12-14 08:34:00,726,0.0165289256198347,1,0.22289065
12347,2,8,4921.53,615.19125,2010-10-31 14:20:00,404,0.0198019801980198,0,0.05282484
12348,75,5,2019.4,403.88,2010-09-27 14:59:00,438,0.0114155251141552,0,0.30627015
12349,19,4,4428.6900000000005,1107.1725,2010-04-29 13:20:00,589,0.0067911714770797,0,0.54690176
12350,310,1,334.40000000000003,334.40000000000003,2011-02-02 16:01:00,310,0.0032258064516129,1,0.9975345
12351,375,1,300.93,300.93,2010-11-29 15:23:00,375,0.0026666666666666,1,0.99918157
12352,36,10,2849.84,284.98400000000004,2010-11-12 10:20:00,393,0.0254452926208651,0,0.06254937
12353,204,2,406.76,203.38,2010-10-27 12:44:00,409,0.0048899755501222,1,0.5388695
12354,232,1,1079.4,1079.4,2011-04-21 13:11:00,232,0.0043103448275862,1,0.99742717
12355,214,2,947.61,473.805,2010-05-21 11:59:00,568,0.0035211267605633,1,0.80999047
12356,23,6,6371.7300000000005,1061.9550000000002,2010-10-11 09:42:00,425,0.0141176470588235,0,0.13566257
12357,33,3,18287.66,6095.886666666666,2010-11-16 10:05:00,389,0.0077120822622107,0,0.39015454
12358,2,5,3887.07,777.414,2009-12-08 07:59:00,732,0.0068306010928961,0,0.4920217
12359,58,10,8873.39,887.3389999999999,2009-12-05 13:32:00,734,0.0136239782016348,0,0.15484044
12360,52,8,4252.89,531.61125,2010-02-22 09:32:00,656,0.0121951219512195,0,0.31839144
12361,287,4,511.25,127.8125,2010-01-26 14:37:00,682,0.0058651026392961,1,0.7430906
12362,3,11,5356.2300000000005,486.93000000000006,2009-12-01 10:10:00,739,0.0148849797023004,0,0.17860168
12363,110,2,552.0,276.0,2011-04-11 13:29:00,242,0.0082644628099173,1,0.58593655
12364,8,4,1313.1,328.275,2011-08-19 15:24:00,112,0.0357142857142857,0,0.019808268
12365,291,2,641.38,320.69,2011-02-21 13:51:00,291,0.0068728522336769,1,0.4975808
12366,634,1,500.24,500.24,2010-03-16 10:28:00,634,0.001577287066246,1,0.99914944
12367,4,1,168.9,168.9,2011-12-05 16:48:00,4,0.25,0,0.001377936
12368,628,1,917.7,917.7,2010-03-21 15:56:00,628,0.001592356687898,1,0.99880636
12369,413,3,1791.15,597.0500000000001,2010-03-08 08:09:00,642,0.0046728971962616,1,0.6407058
12370,51,7,4316.56,616.6514285714286,2010-02-09 09:41:00,669,0.0104633781763826,0,0.37012884
12371,45,5,4067.38,813.476,2010-03-04 18:23:00,645,0.0077519379844961,0,0.51837444
12372,72,3,1298.04,432.68,2011-02-16 12:46:00,297,0.0101010101010101,0,0.5172238
12373,311,3,1127.65,375.8833333333334,2010-02-04 12:08:00,674,0.0044510385756676,1,0.7040613
12374,25,4,2989.2200000000003,747.3050000000001,2010-04-30 14:01:00,588,0.0068027210884353,0,0.5542412
12375,11,2,457.5,228.75,2011-09-02 14:23:00,98,0.0204081632653061,0,0.020088311
12376,390,2,503.15,251.575,2010-10-18 08:42:00,418,0.0047846889952153,1,0.65655917
12377,315,4,3426.32,856.58,2010-04-29 15:34:00,589,0.0067911714770797,1,0.57262266
12378,130,2,5416.32,2708.16,2010-05-26 14:07:00,562,0.0035587188612099,1,0.91411185
12379,82,4,1620.22,405.055,2010-06-23 12:49:00,535,0.0074766355140186,0,0.603065
12380,22,11,9676.3,879.6636363636364,2010-02-15 12:05:00,663,0.0165912518853695,0,0.2483516
12381,5,5,1845.31,369.062,2011-08-12 09:57:00,120,0.0416666666666666,0,0.024210675
12383,185,5,1850.56,370.112,2010-12-22 14:28:00,352,0.0142045454545454,1,0.28125802
