customer_id,recency,frequency,monetary,average_order_value,first_purchase_date,customer_tenure_days,purchase_frequency_per_day
12346,326,12,77556.46,6463.038333333334,2009-12-14 08:34:00,726,0.01652892561983471
12347,2,8,4921.53,615.19125,2010-10-31 14:20:00,404,0.019801980198019802
12348,75,5,2019.3999999999999,403.88,2010-09-27 14:59:00,438,0.01141552511415525
12349,19,4,4428.6900000000005,1107.1725000000001,2010-04-29 13:20:00,589,0.006791171477079796
12350,310,1,334.40000000000003,334.40000000000003,2011-02-02 16:01:00,310,0.0032258064516129032
12351,375,1,300.93,300.93,2010-11-29 15:23:00,375,0.0026666666666666666
12352,36,10,2849.84,284.98400000000004,2010-11-12 10:20:00,393,0.02544529262086514
12353,204,2,406.76,203.38,2010-10-27 12:44:00,409,0.004889975550122249
12354,232,1,1079.4,1079.4,2011-04-21 13:11:00,232,0.004310344827586207
12355,214,2,947.61,473.805,2010-05-21 11:59:00,568,0.0035211267605633804
12356,23,6,6371.7300000000005,1061.9550000000002,2010-10-11 09:42:00,425,0.01411764705882353
12357,33,3,18287.66,6095.886666666666,2010-11-16 10:05:00,389,0.007712082262210797
12358,2,5,3887.07,777.414,2009-12-08 07:59:00,732,0.006830601092896175
12359,58,10,8873.39,887.3389999999999,2009-12-05 13:32:00,734,0.013623978201634877
12360,52,8,4252.89,531.61125,2010-02-22 09:32:00,656,0.012195121951219513
12361,287,4,511.25,127.8125,2010-01-26 14:37:00,682,0.005865102639296188
12362,3,11,5356.2300000000005,486.93000000000006,2009-12-01 10:10:00,739,0.014884979702300407
12363,110,2,552.0,276.0,2011-04-11 13:29:00,242,0.008264462809917356
12364,8,4,1313.1,328.275,2011-08-19 15:24:00,112,0.03571428571428571
12365,291,2,641.38,320.69,2011-02-21 13:51:00,291,0.006872852233676976
12366,634,1,500.24,500.24,2010-03-16 10:28:00,634,0.0015772870662460567
12367,4,1,168.9,168.9,2011-12-05 16:48:00,4,0.25
12368,628,1,917.7,917.7,2010-03-21 15:56:00,628,0.0015923566878980893
12369,413,3,1791.15,597.0500000000001,2010-03-08 08:09:00,642,0.004672897196261682
12370,51,7,4316.56,616.6514285714286,2010-02-09 09:41:00,669,0.01046337817638266
12371,45,5,4067.38,813.476,2010-03-04 18:23:00,645,0.007751937984496124
