stockcode,total_quantity_sold,average_demand,demand_variance,total_product_revenue,unique_customers
10002,8479,28.076158940397352,3885.5456755626906,6638.2699999999995,164
10080,303,11.222222222222221,125.33333333333334,124.60999999999999,23
10109,4,4.0,0.0,1.68,1
10120,648,10.451612903225806,154.153358011634,136.07999999999998,52
10123C,628,13.652173913043478,997.5207729468599,226.76000000000002,39
10123G,2246,172.76923076923077,170822.6923076923,157.18,12
10124A,58,3.2222222222222223,3.8300653594771243,24.36,18
10124G,32,3.5555555555555554,1.7777777777777777,13.44,9
10125,1970,15.634920634920634,406.2016507936509,1562.7,87
10133,3307,16.29064039408867,397.8210505779641,1910.79,153
10134,612,12.24,1063.6963265306124,702.3,44
10135,3887,15.424603174603174,2269.918595459431,4048.14,178
10138,247,15.4375,476.39583333333326,103.74,14
11001,4273,23.349726775956285,2087.272623551312,6608.8099999999995,118
15030,254,9.407407407407407,121.25071225071224,73.66,23
15034,9818,56.7514450867052,19464.39716359726,1156.1200000000001,123
15036,40994,64.55748031496063,24032.64140689038,28766.32,303
15039,4146,22.78021978021978,2586.570214316071,2848.9,127
15044A,4894,25.22680412371134,63187.10891512207,12803.78,116
15044B,1624,10.972972972972974,1850.216951645522,4376.400000000001,97
15044C,862,5.354037267080745,76.48012422360247,2428.5,100
15044D,1544,8.126315789473685,207.78290169869103,4252.84,105
15056BL,9351,11.703379224030037,1903.6224321755603,45885.07,321
15056N,10948,12.64203233256351,1637.3167977145572,54332.61,347
15056P,2436,7.565217391304348,1213.7106867127181,11872.810000000001,186
15058A,419,3.9158878504672896,13.719273496737792,2499.05,76
15058B,301,3.3076923076923075,14.793162393162394,1920.95,65
15058C,413,5.816901408450704,47.15171026156941,1963.35,56
15059A,505,505.0,0.0,1515.0,1
15060B,1137,4.149635036496351,29.680824042137903,4138.17,174
16008,3141,36.95294117647059,3506.140616246499,422.96,64
16010,32,8.0,24.0,3.84,4
16011,3812,34.035714285714285,998.6473616473615,799.3199999999999,83
16012,2877,34.66265060240964,947.8360270349693,602.97,67
16014,29354,319.0652173913044,475745.46822742454,9512.68,46
16015,1572,24.184615384615384,1583.434134615385,711.38,40
16016,2307,21.97142857142857,1327.2780219780216,1864.75,57
16020C,82,3.28,12.04333333333333,69.69999999999999,22
16033,15001,306.14285714285717,210024.0,1530.12,43
16043,2142,178.5,133617.36363636365,179.04000000000002,11
16044,6192,3096.0,18580608.0,388.8,2
16045,9300,127.3972602739726,13127.85388127854,428.0,65
16046,9949,207.27083333333334,860783.8612588653,1043.53,44
16047,10587,460.30434782608694,2221914.85770751,1015.59,21
16048,3413,48.75714285714286,11405.490890269157,498.66,59
16049,3144,125.76,22609.440000000002,542.88,22
16050,122,30.5,573.6666666666669,30.5,4
16051,938,312.6666666666667,229633.3333333333,82.2,3
16052,810,38.57142857142857,4304.157142857142,249.35,18
16053,4298,537.25,815100.5,182.58,8
16054,1205,32.567567567567565,530.9744744744744,156.9,32
16119,271,38.714285714285715,3357.571428571428,128.21,7
16151A,52,10.4,333.3,72.5,5
16156L,950,26.38888888888889,33.73015873015874,399.0,33
16156N,1450,26.363636363636363,32.82828282828282,609.0,51
16156S,16586,39.774580335731414,4004.1269484412483,6527.12,271
16161C,450,225.0,31250.0,45.0,2
16161E,750,83.33333333333333,24531.25,75.0,8
16161G,975,29.545454545454547,213.0681818181818,97.5,31
16161M,1050,26.923076923076923,45.546558704453425,439.0,36
16161P,13198,29.995454545454546,898.3598881756063,5435.4,289
16161U,10001,31.548895899053626,1628.1028231441928,4074.42,203
16162L,8083,475.47058823529414,1518871.6397058826,553.79,16
16162M,86,7.166666666666667,19.42424242424243,36.12,10
16168M,1578,29.77358490566038,2570.3708272859226,425.16,42
16168S,1274,182.0,31396.0,121.86,4
16169A,25,25.0,0.0,10.5,1
16169C,1350,31.3953488372093,330.1495016611296,567.0,42
16169D,250,27.77777777777778,69.44444444444444,105.0,9
16169E,4563,30.42,562.6747651006709,1892.46,143
16169F,975,28.676470588235293,80.77094474153296,409.5,34
16169G,25,25.0,0.0,10.5,1
16169K,2050,34.74576271186441,3836.5721800116885,648.25,56
16169M,2060,34.333333333333336,3781.7514124293793,640.95,56
16169N,2025,36.160714285714285,4043.6282467532465,626.25,52
16169P,1750,36.458333333333336,4706.338652482271,533.75,46
16201A,100,12.5,110.85714285714286,199.8,7
16201B,24,12.0,0.0,46.8,2
16202A,660,34.73684210526316,8753.315789473683,266.45,16
16202B,1034,57.44444444444444,19857.084967320265,469.21,13
16202C,94,9.4,70.26666666666668,201.29999999999998,10
16202E,81,6.230769230769231,28.025641025641022,150.6,12
16206B,96,6.0,39.33333333333334,116.4,14
