Transaction_ID,Date,Customer_ID,Gender,Age,Product_Category,Quantity,Price,Total_Amount
1,2023-11-24,CUST0026,Female,33,Electronics,2,328.38,656.76
2,2023-12-13,CUST0914,Male,55,Home,1,81.19,81.19
3,2023-04-22,CUST0518,Male,53,Electronics,5,290.34,1451.7
4,2023-08-18,CUST0285,Male,66,Electronics,4,280.83,1123.32
5,2023-03-21,CUST0981,Female,24,Clothing,4,41.93,167.72
6,2023-06-26,CUST0271,Male,64,Home,5,84.99,424.95
7,2023-07-13,CUST0566,Female,58,Sports,3,82.48,247.44
8,2023-12-27,CUST0047,Male,67,Beauty,1,34.26,34.26
9,2023-02-21,CUST0285,Female,58,Beauty,2,28.44,56.88
10,2023-04-18,CUST0274,Male,56,Electronics,5,327.5,1637.5
11,2023-03-25,CUST0389,Female,58,Sports,2,85.91,171.82
12,2023-01-29,CUST0842,Male,69,Beauty,4,27.21,108.84
13,2023-04-19,CUST0898,Female,31,Home,4,115.39,461.56
14,2023-11-26,CUST0147,Female,26,Electronics,5,304.68,1523.4
15,2023-10-27,CUST0920,Female,41,Electronics,2,301.14,602.28
16,2023-02-16,CUST0049,Male,27,Electronics,4,311.57,1246.28
17,2023-07-17,CUST0611,Female,51,Beauty,5,34.33,171.65
18,2023-01-06,CUST0739,Male,61,Sports,3,88.6,265.8
19,2023-06-24,CUST0301,Female,28,Home,1,118.15,118.15
20,2023-05-15,CUST0781,Male,50,Clothing,3,56.83,170.49
21,2023-09-17,CUST0204,Male,41,Electronics,5,354.42,1772.1
22,2023-09-29,CUST0614,Female,49,Clothing,1,58.58,58.58
23,2023-06-07,CUST0060,Male,54,Clothing,1,54.64,54.64
24,2023-02-05,CUST0546,Male,26,Home,5,86.61,433.05
25,2023-09-28,CUST0434,Male,52,Electronics,3,287.88,863.64
26,2023-12-10,CUST0383,Female,51,Home,1,89.92,89.92
27,2023-02-02,CUST0022,Male,55,Electronics,1,248.52,248.52
28,2023-11-20,CUST0235,Male,20,Beauty,1,30.17,30.17
29,2023-05-23,CUST0498,Male,52,Electronics,5,309.15,1545.75
30,2023-05-05,CUST0485,Female,30,Clothing,1,53.18,53.18
31,2023-07-01,CUST0421,Female,64,Clothing,1,41.21,41.21
32,2023-06-23,CUST0883,Male,33,Electronics,2,304.35,608.7
33,2023-03-13,CUST0188,Female,47,Electronics,1,293.18,293.18
34,2023-10-09,CUST0052,Male,23,Electronics,2,288.77,577.54
35,2023-09-04,CUST0886,Female,21,Electronics,4,240.26,961.04
36,2023-07-19,CUST0949,Female,36,Home,5,106.47,532.35
37,2023-09-07,CUST0195,Female,31,Clothing,5,54.71,273.55
38,2023-02-01,CUST0322,Male,21,Sports,4,80.09,320.36
39,2023-09-29,CUST0059,Male,29,Clothing,5,41.36,206.8
40,2023-05-01,CUST0123,Male,55,Sports,1,83.82,83.82
41,2023-08-03,CUST0598,Female,34,Electronics,3,268.64,805.92
42,2023-07-22,CUST0688,Female,47,Beauty,1,24.11,24.11
43,2023-11-15,CUST0103,Male,52,Electronics,5,271.82,1359.1
44,2023-06-28,CUST0901,Male,41,Beauty,2,29.26,58.52
45,2023-10-06,CUST0310,Male,60,Sports,3,93.82,281.46
46,2023-02-23,CUST0271,Male,24,Sports,2,72.72,145.44
47,2023-11-06,CUST0735,Female,31,Beauty,5,29.86,149.3
48,2023-01-27,CUST0650,Female,35,Clothing,1,46.67,46.67
49,2023-03-08,CUST0269,Male,65,Home,5,108.23,541.15
50,2023-10-15,CUST0115,Male,62,Electronics,5,244.32,1221.6
51,2023-07-09,CUST0566,Male,45,Electronics,1,276.99,276.99
52,2023-01-21,CUST0216,Male,60,Clothing,3,55.6,166.8
53,2023-07-28,CUST0768,Male,33,Electronics,2,345.77,691.54
54,2023-01-13,CUST0755,Female,68,Home,2,90.67,181.34
55,2023-12-26,CUST0392,Male,48,Electronics,2,337.99,675.98
56,2023-08-24,CUST0313,Male,32,Clothing,2,47.97,95.94
57,2023-05-23,CUST0991,Female,40,Sports,4,85.74,342.96
58,2023-10-02,CUST0962,Male,25,Beauty,2,30.97,61.94
59,2023-05-16,CUST0112,Female,40,Beauty,4,31.27,125.08
60,2023-09-19,CUST0395,Male,34,Clothing,4,40.03,160.12
61,2023-10-03,CUST0737,Male,41,Home,1,117.95,117.95
62,2023-06-19,CUST0322,Male,64,Beauty,5,27.71,138.55
63,2023-07-29,CUST0413,Female,53,Electronics,2,290.45,580.9
64,2023-07-14,CUST0767,Male,57,Sports,3,76.99,230.97
65,2023-01-01,CUST0294,Male,45,Sports,5,84.95,424.75
66,2023-08-27,CUST0453,Male,50,Home,2,106.35,212.7
67,2023-05-26,CUST0680,Female,23,Electronics,3,266.96,800.88
68,2023-04-12,CUST0026,Male,33,Home,5,113.99,569.95
69,2023-02-07,CUST0425,Male,63,Home,4,95.99,383.96
70,2023-03-17,CUST0705,Male,66,Clothing,4,44.38,177.52
71,2023-12-23,CUST0476,Male,53,Electronics,1,294.78,294.78
72,2023-08-26,CUST0544,Female,66,Home,5,112.6,563.0
73,2023-09-16,CUST0851,Female,28,Home,4,90.37,361.48
74,2023-05-07,CUST0284,Female,58,Electronics,3,292.78,878.34
75,2024-01-01,CUST0241,Female,39,Beauty,5,24.97,124.85
76,2023-03-19,CUST0393,Male,63,Electronics,1,289.78,289.78
77,2023-06-19,CUST0478,Female,21,Electronics,4,286.74,1146.96
78,2023-10-27,CUST0021,Female,48,Clothing,3,45.97,137.91
79,2023-07-19,CUST0552,Male,49,Electronics,3,292.3,876.9
80,2023-01-15,CUST0345,Female,64,Electronics,4,350.34,1401.36
81,2023-11-15,CUST0028,Female,55,Sports,1,66.69,66.69
82,2023-08-08,CUST0888,Female,29,Clothing,3,47.58,142.74
83,2023-04-19,CUST0335,Female,66,Home,3,110.08,330.24
84,2023-08-04,CUST0855,Male,48,Clothing,5,41.04,205.2
85,2023-06-29,CUST0666,Male,67,Clothing,1,58.99,58.99
86,2023-04-13,CUST0637,Male,33,Electronics,4,320.34,1281.36
87,2023-10-16,CUST0477,Female,67,Beauty,2,31.27,62.54
88,2023-02-28,CUST0839,Male,37,Clothing,5,40.51,202.55
