stockcode,total_quantity_sold,average_demand,demand_variance,total_product_revenue,unique_customers,daily_avg_demand,daily_demand_std,safety_stock,lead_time_demand,reorder_point,reorder_quantity
10002,8479,28.076158940397352,3885.5456755626906,6638.27,164,23.23013698630137,62.33414534236184,273.0,163.0,436.0,697.0
10080,303,11.22222222222222,125.33333333333334,124.61,23,0.8301369863013699,11.195237082497778,49.0,6.0,55.0,25.0
10109,4,4.0,0.0,1.68,1,0.010958904109589041,0.0,0.0,1.0,1.0,1.0
10120,648,10.451612903225806,154.153358011634,136.07999999999998,52,1.7753424657534247,12.415851078827984,55.0,13.0,68.0,54.0
10123C,628,13.652173913043478,997.52077294686,226.76,39,1.7205479452054795,31.583552253457178,138.0,13.0,151.0,52.0
10123G,2246,172.76923076923077,170822.6923076923,157.18,12,6.153424657534247,413.3070194270747,1805.0,44.0,1849.0,185.0
10124A,58,3.2222222222222223,3.830065359477124,24.36,18,0.1589041095890411,1.9570552775732022,9.0,2.0,11.0,5.0
10124G,32,3.555555555555556,1.7777777777777777,13.44,9,0.08767123287671233,1.3333333333333333,6.0,1.0,7.0,3.0
10125,1970,15.634920634920634,406.2016507936509,1562.7,87,5.397260273972603,20.154444938862763,88.0,38.0,126.0,162.0
10133,3307,16.29064039408867,397.8210505779641,1910.79,153,9.06027397260274,19.94545187700605,88.0,64.0,152.0,272.0
10134,612,12.24,1063.6963265306124,702.3,44,1.6767123287671233,32.61435767465937,143.0,12.0,155.0,51.0
10135,3887,15.424603174603174,2269.918595459431,4048.14,178,10.64931506849315,47.64366269987469,208.0,75.0,283.0,320.0
10138,247,15.4375,476.39583333333326,103.74,14,0.6767123287671233,21.826493839674143,96.0,5.0,101.0,21.0
11001,4273,23.349726775956285,2087.272623551312,6608.81,118,11.706849315068494,45.68667884133527,200.0,82.0,282.0,352.0
15030,254,9.407407407407408,121.25071225071224,73.66,23,0.6958904109589041,11.011390114363955,49.0,5.0,54.0,21.0
